date,inflow,outflow,local
1895-07-01,868532.9999999999,544455.0,547323.7873857411
1895-08-01,1336448.0,549781.0,768928.7356414795
1895-09-01,1904357.0000000002,500085.0,1364371.0968856814
1895-10-01,923467.0000000001,691168.0,721131.6986694337
1895-11-01,400981.0,396626.0,315083.40560913086
1895-12-01,429458.0,62000.0,301129.0912017822
1896-01-01,273697.0,62000.0,165665.10258483887
1896-02-01,283291.0,58000.0,201353.7760772705
1896-03-01,408727.0,62000.0,214253.11911010742
1896-04-01,516138.00000000006,192925.0,322661.36427307135
1896-05-01,484107.99999999994,93718.0,388819.5751342773
1896-06-01,493046.0,163849.0,341054.4118041992
1896-07-01,917881.0000000001,361472.0,456371.06146240246
1896-08-01,622006.0000000001,564566.0,431026.3290863038
1896-09-01,971480.0,586443.0,688986.8371887207
1896-10-01,626609.0,203399.0,485016.80822753906
1896-11-01,507445.0,75000.0,422529.7791290283
1896-12-01,377189.0,52000.0,297087.14542388916
1897-01-01,556396.9999999999,58000.0,407965.03295898426
1897-02-01,376356.0,56000.0,272300.59968566895
1897-03-01,288618.0,51404.0,237687.1234741211
1897-04-01,284139.00000000006,12872.0,164225.59622955328
1897-05-01,225458.99999999997,57932.0,168251.20677185056
1897-06-01,267776.0,60000.0,220088.26358795166
1897-07-01,546450.9999999999,62000.0,399971.62033081043
1897-08-01,1153678.9999999998,148999.0,628399.3168334959
1897-09-01,2430587.0,416739.0,996655.4669799805
1897-10-01,1218368.0,516150.0,777509.3016052246
1897-11-01,531203.0000000001,170453.0,393051.98184204113
1897-12-01,289767.0,62000.0,208431.00519943237
1898-01-01,344070.99999999994,59772.0,148815.89034271234
1898-02-01,446843.0,0.0,242319.01280975342
1898-03-01,468296.0,0.0,186880.75733947754
1898-04-01,338337.00000000006,25726.0,186471.4681396485
1898-05-01,323198.99999999994,62000.0,261386.36535644525
1898-06-01,738082.9999999999,60000.0,592957.5665130614
1898-07-01,795231.0,411077.0,539380.1671142578
1898-08-01,1492338.0,734647.0,853689.7955932617
1898-09-01,1298253.0000000002,546496.0,858486.0871582034
1898-10-01,920702.0,292772.0,779814.7484588623
1898-11-01,838576.9999999999,103652.0,742586.7274093627
1898-12-01,410759.0,62697.0,331793.65369415283
1899-01-01,289110.0,62000.0,219299.9934501648
1899-02-01,236555.00000000003,56000.0,165938.18382263187
1899-03-01,518987.99999999994,47053.0,256402.77271270746
1899-04-01,430778.0,64521.0,357027.27044677734
1899-05-01,390024.0,62000.0,319213.41986083984
1899-06-01,974235.0000000001,80134.0,746306.499069214
1899-07-01,1269347.0,645889.0,626623.4054412842
1899-08-01,1158625.0,757492.0,561393.0472106934
1899-09-01,850119.0,564218.0,504337.5241088867
1899-10-01,581848.0,179389.0,402163.0439605713
1899-11-01,489809.0,75000.0,364561.00816345215
1899-12-01,287963.00000000006,62000.0,208867.04901123053
1900-01-01,258267.00000000006,12000.0,174835.63976287848
1900-02-01,207689.00000000003,0.0,135567.70743560794
1900-03-01,386770.0,26394.0,330828.81268310547
1900-04-01,711999.9999999999,60000.0,523404.85285949695
